ID,DATE,BOROUGH,LAT,LON,NUM_CASUALTIES,NUM_FATAL,NUM_SERIOUS,NUM_SLIGHT
707456,2018-07-04T07:40:00Z,Bromley,51.39547,0.025641,1,0,0,1
207955,2013-07-07T08:50:00Z,Bromley,51.354269,0.033159,1,0,0,1
579095,2013-07-07T08:50:00Z,Bromley,51.354269,0.033159,1,0,0,1
66042,2007-06-29T08:10:00Z,Bromley,51.401821,0.054964,1,0,0,1
437182,2007-06-29T08:10:00Z,Bromley,51.401821,0.054964,1,0,0,1
65600,2007-01-17T20:12:00Z,Bromley,51.417043,-0.073503,1,0,1,0
436740,2007-01-17T20:12:00Z,Bromley,51.417043,-0.073503,1,0,1,0
629964,2015-12-16T15:54:00Z,Bromley,51.392547,0.111184,1,0,0,1
258824,2015-12-16T15:54:00Z,Bromley,51.392547,0.111184,1,0,0,1
336100,2018-03-11T09:00:00Z,Bromley,51.392907,0.1112,1,0,0,1
707240,2018-03-11T09:00:00Z,Bromley,51.392907,0.1112,1,0,0,1
460500,2008-08-11T16:25:00Z,Bromley,51.385433,0.076507,1,0,0,1
89360,2008-08-11T16:25:00Z,Bromley,51.385433,0.076507,1,0,0,1
284077,2016-07-25T15:00:00Z,Bromley,51.38287,0.119218,1,0,0,1
655217,2016-07-25T15:00:00Z,Bromley,51.38287,0.119218,1,0,0,1
365449,2019-10-19T22:00:00Z,Bromley,51.375036,-0.010435,1,0,0,1
736589,2019-10-19T22:00:00Z,Bromley,51.375036,-0.010435,1,0,0,1
16051,2005-04-11T17:18:00Z,Bromley,51.391021,-0.028312,1,0,0,1
387191,2005-04-11T17:18:00Z,Bromley,51.391021,-0.028312,1,0,0,1
232672,2014-01-03T07:24:00Z,Bromley,51.373236,0.074661,1,0,0,1
603812,2014-01-03T07:24:00Z,Bromley,51.373236,0.074661,1,0,0,1
483038,2009-01-11T14:58:00Z,Bromley,51.378867,0.101788,1,0,0,1
111898,2009-01-11T14:58:00Z,Bromley,51.378867,0.101788,1,0,0,1
160824,2011-03-31T17:30:00Z,Bromley,51.424662,-0.066565,1,0,0,1
531964,2011-03-31T17:30:00Z,Bromley,51.424662,-0.066565,1,0,0,1
233167,2014-11-15T13:35:00Z,Bromley,51.417231,0.068455,1,0,0,1
604307,2014-11-15T13:35:00Z,Bromley,51.417231,0.068455,1,0,0,1
629560,2015-05-24T07:30:00Z,Bromley,51.399129,-0.018475,1,0,0,1
